,lat,lon,mag_abs,TIME,DATE,LINE,MARK
0,20.0,640.0,53660.917,14:36:55.50,07/09/22,4,32
1,20.0,620.0,48937.675,14:33:08.80,07/09/22,4,31
2,20.0,600.0,48912.468,14:32:41.70,07/09/22,4,30
3,20.0,580.0,48975.54,14:32:29.40,07/09/22,4,29
4,20.0,560.0,48958.203,14:32:16.60,07/09/22,4,28
5,20.0,540.0,48934.657,14:32:00.80,07/09/22,4,27
6,20.0,520.0,48918.2,14:31:48.20,07/09/22,4,26
7,20.0,500.0,48974.939,14:31:35.70,07/09/22,4,25
8,20.0,480.0,48933.617,14:31:24.80,07/09/22,4,24
9,20.0,460.0,48934.713,14:31:11.30,07/09/22,4,23
10,20.0,440.0,48968.876,14:30:59.30,07/09/22,4,22
11,20.0,420.0,48964.104,14:30:42.20,07/09/22,4,21
12,20.0,400.0,48959.384,14:30:21.60,07/09/22,4,20
13,20.0,380.0,48903.952,14:29:55.60,07/09/22,4,19
14,20.0,360.0,48764.29,14:29:23.00,07/09/22,4,18
15,20.0,340.0,48932.468,14:28:51.30,07/09/22,4,17
16,20.0,320.0,48940.167,14:25:34.90,07/09/22,4,16
17,20.0,300.0,48943.906,14:21:17.50,07/09/22,4,15
18,20.0,280.0,48891.6,14:20:51.20,07/09/22,4,14
19,20.0,260.0,48935.673,14:20:30.50,07/09/22,4,13
20,20.0,240.0,48903.943,14:20:09.40,07/09/22,4,12
21,20.0,220.0,48917.108,14:19:51.00,07/09/22,4,11
22,20.0,200.0,48838.506,14:19:30.90,07/09/22,4,10
23,20.0,180.0,48854.819,14:19:06.10,07/09/22,4,9
24,20.0,160.0,48881.365,14:18:45.60,07/09/22,4,8
25,20.0,140.0,48902.117,14:18:22.70,07/09/22,4,7
26,20.0,120.0,48912.846,14:18:03.20,07/09/22,4,6
27,20.0,100.0,49137.335,14:17:46.30,07/09/22,4,5
28,20.0,80.0,48897.801,14:17:26.80,07/09/22,4,4
29,20.0,60.0,49000.334,14:17:04.70,07/09/22,4,3
30,20.0,40.0,49074.997,14:16:34.70,07/09/22,4,2
31,20.0,20.0,48807.804,14:16:17.60,07/09/22,4,1
32,20.0,0.0,48948.571,14:15:14.10,07/09/22,4,0
33,15.0,0.0,48799.251,14:14:57.50,07/09/22,3,23
34,15.0,20.0,49053.853,14:00:37.00,07/09/22,3,22
35,15.0,40.0,48927.253,14:00:13.60,07/09/22,3,21
36,15.0,60.0,49209.546,13:59:58.40,07/09/22,3,20
37,15.0,80.0,49019.118,13:59:41.10,07/09/22,3,19
38,15.0,100.0,49022.3,13:59:25.20,07/09/22,3,18
39,15.0,120.0,49032.416,13:59:06.90,07/09/22,3,17
40,15.0,140.0,48986.375,13:58:47.70,07/09/22,3,16
41,15.0,160.0,48959.516,13:58:29.10,07/09/22,3,15
42,15.0,180.0,48902.496,13:58:09.10,07/09/22,3,14
43,15.0,200.0,49002.812,13:57:53.40,07/09/22,3,13
44,15.0,220.0,48929.167,13:57:40.10,07/09/22,3,12
45,15.0,240.0,49300.355,13:56:40.90,07/09/22,3,11
46,15.0,260.0,48663.209,13:56:20.90,07/09/22,3,10
47,15.0,280.0,48787.914,13:56:04.80,07/09/22,3,9
48,15.0,300.0,48655.114,13:55:44.40,07/09/22,3,8
49,15.0,320.0,48675.369,13:55:27.10,07/09/22,3,7
50,15.0,340.0,48629.758,13:55:14.70,07/09/22,3,6
51,15.0,360.0,48592.094,13:55:02.60,07/09/22,3,5
52,15.0,380.0,48503.94,13:54:49.30,07/09/22,3,4
53,15.0,400.0,48547.167,13:54:36.40,07/09/22,3,3
54,15.0,420.0,48678.375,13:54:23.50,07/09/22,3,2
55,15.0,440.0,48517.064,13:54:09.50,07/09/22,3,1
56,15.0,460.0,48990.756,13:52:16.70,07/09/22,3,0
57,10.0,1560.0,48914.268,13:51:46.30,07/09/22,2,78
58,10.0,1540.0,48918.625,13:37:02.50,07/09/22,2,77
59,10.0,1520.0,48993.597,13:35:24.00,07/09/22,2,76
60,10.0,1500.0,49044.26,13:34:54.70,07/09/22,2,75
61,10.0,1480.0,48828.792,13:34:45.30,07/09/22,2,74
62,10.0,1460.0,48181.919,13:34:34.50,07/09/22,2,73
63,10.0,1440.0,48924.744,13:34:24.30,07/09/22,2,72
64,10.0,1420.0,48607.161,13:34:17.10,07/09/22,2,71
65,10.0,1400.0,48710.793,13:34:11.20,07/09/22,2,70
66,10.0,1380.0,48815.55,13:34:04.50,07/09/22,2,69
67,10.0,1360.0,48571.678,13:33:56.40,07/09/22,2,68
68,10.0,1340.0,48804.478,13:33:44.50,07/09/22,2,67
69,10.0,1320.0,48684.929,13:33:37.20,07/09/22,2,66
70,10.0,1300.0,48544.156,13:33:30.30,07/09/22,2,65
71,10.0,1280.0,48874.605,13:33:21.70,07/09/22,2,64
72,10.0,1260.0,48714.459,13:33:13.60,07/09/22,2,63
73,10.0,1240.0,48645.376,13:33:05.40,07/09/22,2,62
74,10.0,1220.0,48694.002,13:32:56.80,07/09/22,2,61
75,10.0,1200.0,48690.074,13:32:48.20,07/09/22,2,60
76,10.0,1180.0,48757.065,13:32:38.20,07/09/22,2,59
77,10.0,1160.0,48809.907,13:32:31.30,07/09/22,2,58
78,10.0,1140.0,48889.429,13:32:24.00,07/09/22,2,57
79,10.0,1120.0,48916.951,13:32:17.30,07/09/22,2,56
80,10.0,1100.0,48959.234,13:32:11.30,07/09/22,2,55
81,10.0,1080.0,48920.168,13:32:05.80,07/09/22,2,54
82,10.0,1060.0,48898.266,13:31:58.20,07/09/22,2,53
83,10.0,1040.0,48882.035,13:31:50.40,07/09/22,2,52
84,10.0,1020.0,48911.319,13:31:41.00,07/09/22,2,51
85,10.0,1000.0,49065.625,13:31:32.30,07/09/22,2,50
86,10.0,980.0,49110.197,13:31:24.10,07/09/22,2,49
87,10.0,960.0,49022.336,13:31:18.00,07/09/22,2,48
88,10.0,940.0,49151.549,13:31:10.90,07/09/22,2,47
89,10.0,920.0,49584.576,13:30:47.70,07/09/22,2,46
90,10.0,900.0,49574.201,13:30:37.90,07/09/22,2,45
91,10.0,880.0,49473.371,13:30:24.40,07/09/22,2,44
92,10.0,860.0,49413.013,13:30:18.10,07/09/22,2,43
93,10.0,840.0,49372.513,13:30:08.90,07/09/22,2,42
94,10.0,820.0,49310.506,13:30:03.90,07/09/22,2,41
95,10.0,800.0,49191.573,13:29:57.30,07/09/22,2,40
96,10.0,780.0,49142.311,13:29:47.70,07/09/22,2,39
97,10.0,760.0,49047.915,13:29:40.40,07/09/22,2,38
98,10.0,740.0,48946.328,13:29:32.40,07/09/22,2,37
99,10.0,720.0,48942.801,13:29:22.30,07/09/22,2,36
100,10.0,700.0,48957.072,13:28:04.40,07/09/22,2,35
101,10.0,680.0,48916.282,13:27:50.70,07/09/22,2,34
102,10.0,660.0,48949.389,13:27:43.00,07/09/22,2,33
103,10.0,640.0,48995.072,13:27:35.20,07/09/22,2,32
104,10.0,620.0,49144.223,13:27:26.30,07/09/22,2,31
105,10.0,600.0,49137.0,13:27:18.80,07/09/22,2,30
106,10.0,580.0,49152.348,13:27:08.50,07/09/22,2,29
107,10.0,560.0,49207.246,13:27:02.80,07/09/22,2,28
108,10.0,540.0,49290.063,13:26:55.90,07/09/22,2,27
109,10.0,520.0,49317.861,13:26:49.90,07/09/22,2,26
110,10.0,500.0,49310.574,13:26:43.30,07/09/22,2,25
111,10.0,480.0,49317.269,13:26:36.40,07/09/22,2,24
112,10.0,460.0,49343.541,13:26:29.90,07/09/22,2,23
113,10.0,440.0,49317.303,13:26:24.40,07/09/22,2,22
114,10.0,420.0,49275.863,13:26:17.50,07/09/22,2,21
115,10.0,400.0,49061.51,13:26:10.70,07/09/22,2,20
116,10.0,380.0,49070.381,13:26:04.80,07/09/22,2,19
117,10.0,360.0,49382.715,13:25:57.00,07/09/22,2,18
118,10.0,340.0,49334.674,13:25:51.20,07/09/22,2,17
119,10.0,320.0,49318.943,13:25:44.70,07/09/22,2,16
120,10.0,300.0,49305.974,13:25:38.80,07/09/22,2,15
121,10.0,280.0,49209.346,13:25:31.70,07/09/22,2,14
122,10.0,260.0,49466.075,13:25:24.00,07/09/22,2,13
123,10.0,240.0,49732.302,13:25:16.90,07/09/22,2,12
124,10.0,220.0,49694.414,13:25:10.40,07/09/22,2,11
125,10.0,200.0,49700.944,13:25:03.00,07/09/22,2,10
126,10.0,180.0,49458.744,13:24:52.60,07/09/22,2,9
127,10.0,160.0,49462.007,13:24:43.70,07/09/22,2,8
128,10.0,140.0,49475.902,13:24:31.80,07/09/22,2,7
129,10.0,120.0,49500.189,13:24:26.20,07/09/22,2,6
130,10.0,100.0,49436.526,13:23:58.30,07/09/22,2,5
131,10.0,80.0,49381.218,13:23:51.20,07/09/22,2,4
132,10.0,60.0,49246.682,13:23:22.20,07/09/22,2,3
133,10.0,40.0,49258.749,13:23:09.10,07/09/22,2,2
134,10.0,20.0,49131.416,13:22:52.50,07/09/22,2,1
135,10.0,0.0,48988.021,13:16:36.00,07/09/22,2,0
136,5.0,0.0,48686.173,13:15:26.60,07/09/22,1,93
137,5.0,20.0,48837.451,13:12:38.40,07/09/22,1,92
138,5.0,40.0,48593.144,13:12:12.00,07/09/22,1,91
139,5.0,60.0,48769.396,13:11:59.50,07/09/22,1,90
140,5.0,80.0,48784.343,13:11:28.80,07/09/22,1,89
141,5.0,100.0,48658.773,13:11:20.50,07/09/22,1,88
142,5.0,120.0,48653.286,13:11:11.10,07/09/22,1,87
143,5.0,140.0,48597.687,13:11:01.40,07/09/22,1,86
144,5.0,160.0,48840.165,13:10:53.40,07/09/22,1,85
145,5.0,180.0,48677.703,13:10:45.20,07/09/22,1,84
146,5.0,200.0,48700.412,13:10:39.30,07/09/22,1,83
147,5.0,220.0,48625.281,13:10:30.70,07/09/22,1,82
148,5.0,240.0,48677.786,13:10:21.60,07/09/22,1,81
149,5.0,260.0,48620.167,13:10:12.90,07/09/22,1,80
150,5.0,280.0,48727.463,13:10:05.40,07/09/22,1,79
151,5.0,300.0,48650.52,13:09:56.50,07/09/22,1,78
152,5.0,320.0,48723.534,13:09:47.60,07/09/22,1,77
153,5.0,340.0,48737.119,13:09:37.60,07/09/22,1,76
154,5.0,360.0,48785.679,13:09:27.90,07/09/22,1,75
155,5.0,380.0,48893.712,13:09:18.30,07/09/22,1,74
156,5.0,400.0,48859.744,13:09:07.70,07/09/22,1,73
157,5.0,420.0,48926.361,13:08:55.80,07/09/22,1,72
158,5.0,440.0,48921.177,13:08:41.30,07/09/22,1,71
159,5.0,460.0,48967.111,13:08:29.00,07/09/22,1,70
160,5.0,480.0,49013.069,13:08:15.60,07/09/22,1,69
161,5.0,500.0,49002.132,13:08:02.80,07/09/22,1,68
162,5.0,520.0,48995.205,13:07:49.60,07/09/22,1,67
163,5.0,540.0,48971.087,13:07:39.40,07/09/22,1,66
164,5.0,560.0,48910.047,13:07:28.20,07/09/22,1,65
165,5.0,580.0,48927.711,13:07:12.80,07/09/22,1,64
166,5.0,600.0,48887.793,13:07:00.50,07/09/22,1,63
167,5.0,620.0,48978.183,13:06:47.10,07/09/22,1,62
168,5.0,640.0,48291.854,13:06:32.90,07/09/22,1,61
169,5.0,660.0,48869.243,13:06:20.40,07/09/22,1,60
170,5.0,680.0,48941.305,13:06:06.00,07/09/22,1,59
171,5.0,700.0,48977.711,13:05:51.20,07/09/22,1,58
172,5.0,720.0,48998.347,13:05:35.60,07/09/22,1,57
173,5.0,740.0,49047.151,13:05:22.30,07/09/22,1,56
174,5.0,760.0,49047.858,13:05:08.60,07/09/22,1,55
175,5.0,780.0,49037.299,13:04:53.60,07/09/22,1,54
176,5.0,800.0,49086.047,13:04:40.90,07/09/22,1,53
177,5.0,820.0,48971.928,13:04:27.70,07/09/22,1,52
178,5.0,840.0,49009.409,13:04:11.80,07/09/22,1,51
179,5.0,860.0,49122.489,13:03:40.70,07/09/22,1,50
180,5.0,880.0,48644.612,13:03:30.90,07/09/22,1,49
181,5.0,900.0,48633.183,13:03:21.60,07/09/22,1,48
182,5.0,920.0,48966.187,13:03:12.70,07/09/22,1,47
183,5.0,940.0,49003.565,13:03:03.10,07/09/22,1,46
184,5.0,960.0,48994.92,13:02:50.90,07/09/22,1,45
185,5.0,980.0,49715.423,13:02:37.90,07/09/22,1,44
186,5.0,1000.0,49018.626,13:01:36.70,07/09/22,1,43
187,5.0,1020.0,48972.548,13:01:20.20,07/09/22,1,42
188,5.0,1040.0,48916.364,13:00:54.80,07/09/22,1,41
189,5.0,1060.0,49047.32,13:00:39.60,07/09/22,1,40
190,5.0,1080.0,48769.653,13:00:18.40,07/09/22,1,39
191,5.0,1100.0,0.0,13:00:06.10,07/09/22,1,38
192,5.0,1120.0,42071.105,12:59:54.30,07/09/22,1,37
193,5.0,1140.0,0.0,12:59:41.70,07/09/22,1,36
194,5.0,1160.0,48977.312,12:59:30.00,07/09/22,1,35
195,5.0,1180.0,48930.508,12:59:12.50,07/09/22,1,34
196,5.0,1200.0,48892.789,12:59:02.00,07/09/22,1,33
197,5.0,1220.0,48986.978,12:58:49.20,07/09/22,1,32
198,5.0,1240.0,49009.849,12:58:22.70,07/09/22,1,31
199,5.0,1260.0,48846.908,12:58:14.00,07/09/22,1,30
200,5.0,1280.0,48799.313,12:57:57.30,07/09/22,1,29
201,5.0,1300.0,48909.191,12:57:48.00,07/09/22,1,28
202,5.0,1320.0,48683.153,12:57:37.20,07/09/22,1,27
203,5.0,1340.0,48536.473,12:57:20.70,07/09/22,1,26
204,5.0,1360.0,48812.391,12:57:09.00,07/09/22,1,25
205,5.0,1380.0,48749.868,12:56:54.90,07/09/22,1,24
206,5.0,1400.0,48820.504,12:56:45.00,07/09/22,1,23
207,5.0,1420.0,48782.749,12:56:32.10,07/09/22,1,22
208,5.0,1440.0,48728.741,12:56:21.50,07/09/22,1,21
209,5.0,1460.0,48601.825,12:56:08.20,07/09/22,1,20
210,5.0,1480.0,48816.459,12:55:47.00,07/09/22,1,19
211,5.0,1500.0,48820.805,12:55:34.00,07/09/22,1,18
212,5.0,1520.0,48769.218,12:55:23.40,07/09/22,1,17
213,5.0,1540.0,48722.504,12:55:12.10,07/09/22,1,16
214,5.0,1560.0,48687.697,12:55:01.10,07/09/22,1,15
215,5.0,1580.0,48635.258,12:54:50.40,07/09/22,1,14
216,5.0,1600.0,48553.084,12:54:40.00,07/09/22,1,13
217,5.0,1620.0,48700.045,12:54:26.70,07/09/22,1,12
218,5.0,1640.0,48763.211,12:54:11.80,07/09/22,1,11
219,5.0,1660.0,48645.02,12:53:57.10,07/09/22,1,10
220,5.0,1680.0,48694.236,12:53:36.70,07/09/22,1,9
221,5.0,1700.0,48742.665,12:53:26.50,07/09/22,1,8
222,5.0,1720.0,48782.12,12:53:16.00,07/09/22,1,7
223,5.0,1740.0,48780.409,12:53:04.20,07/09/22,1,6
224,5.0,1760.0,48751.578,12:52:53.50,07/09/22,1,5
225,5.0,1780.0,49082.523,12:52:41.20,07/09/22,1,4
226,5.0,1800.0,48841.894,12:52:30.00,07/09/22,1,3
227,5.0,1820.0,48754.645,12:52:02.30,07/09/22,1,2
228,5.0,1840.0,48924.287,12:50:10.00,07/09/22,1,1
229,5.0,1860.0,48924.496,12:49:56.50,07/09/22,1,0
230,0.0,2560.0,34016.388,12:27:28.20,07/09/22,0,128
231,0.0,2540.0,0.0,12:26:07.30,07/09/22,0,127
232,0.0,2520.0,42359.904,12:22:03.30,07/09/22,0,126
233,0.0,2500.0,0.0,12:21:54.30,07/09/22,0,125
234,0.0,2480.0,39905.812,12:21:46.40,07/09/22,0,124
235,0.0,2460.0,0.0,12:21:38.90,07/09/22,0,123
236,0.0,2440.0,0.0,12:21:37.80,07/09/22,0,122
237,0.0,2420.0,0.0,12:21:27.80,07/09/22,0,121
238,0.0,2400.0,48463.975,12:21:19.70,07/09/22,0,120
239,0.0,2380.0,0.0,12:21:11.00,07/09/22,0,119
240,0.0,2360.0,43093.159,12:21:08.70,07/09/22,0,118
241,0.0,2340.0,0.0,12:20:59.60,07/09/22,0,117
242,0.0,2320.0,48549.968,12:20:50.30,07/09/22,0,116
243,0.0,2300.0,48774.48,12:20:39.70,07/09/22,0,115
244,0.0,2280.0,45832.806,12:20:13.30,07/09/22,0,114
245,0.0,2260.0,48686.575,12:20:04.70,07/09/22,0,113
246,0.0,2240.0,48583.377,12:19:54.60,07/09/22,0,112
247,0.0,2220.0,48548.374,12:19:43.80,07/09/22,0,111
248,0.0,2200.0,48515.6,12:19:33.90,07/09/22,0,110
249,0.0,2180.0,48818.86,12:19:20.80,07/09/22,0,109
250,0.0,2160.0,48556.777,12:19:10.00,07/09/22,0,108
251,0.0,2140.0,48700.211,12:18:57.80,07/09/22,0,107
252,0.0,2120.0,48538.257,12:18:45.40,07/09/22,0,106
253,0.0,2100.0,48701.372,12:18:26.80,07/09/22,0,105
254,0.0,2080.0,48650.327,12:18:01.40,07/09/22,0,104
255,0.0,2060.0,48648.001,12:17:47.70,07/09/22,0,103
256,0.0,2040.0,48623.854,12:17:35.70,07/09/22,0,102
257,0.0,2020.0,48620.599,12:17:24.00,07/09/22,0,101
258,0.0,2000.0,48516.398,12:17:10.60,07/09/22,0,100
259,0.0,1980.0,48548.688,12:16:58.60,07/09/22,0,99
260,0.0,1960.0,41777.601,12:16:43.50,07/09/22,0,98
261,0.0,1940.0,0.0,12:16:31.10,07/09/22,0,97
262,0.0,1920.0,48571.514,12:16:12.30,07/09/22,0,96
263,0.0,1900.0,48574.335,12:16:01.90,07/09/22,0,95
264,0.0,1880.0,48643.502,12:15:35.30,07/09/22,0,94
265,0.0,1860.0,48717.448,12:15:25.40,07/09/22,0,93
266,0.0,1840.0,48785.22,12:15:14.10,07/09/22,0,92
267,0.0,1820.0,48895.116,12:15:04.60,07/09/22,0,91
268,0.0,1800.0,49106.966,12:14:54.10,07/09/22,0,90
269,0.0,1780.0,49319.969,12:14:42.60,07/09/22,0,89
270,0.0,1760.0,49506.873,12:14:30.60,07/09/22,0,88
271,0.0,1740.0,49536.016,12:14:15.00,07/09/22,0,87
272,0.0,1720.0,49530.033,12:14:01.60,07/09/22,0,86
273,0.0,1700.0,49519.616,12:14:00.00,07/09/22,0,85
274,0.0,1680.0,49510.11,12:13:46.50,07/09/22,0,84
275,0.0,1660.0,49619.177,12:13:27.80,07/09/22,0,83
276,0.0,1640.0,49431.48,12:13:16.00,07/09/22,0,82
277,0.0,1620.0,49380.283,12:13:05.00,07/09/22,0,81
278,0.0,1600.0,49124.253,12:12:53.50,07/09/22,0,80
279,0.0,1580.0,48988.965,12:12:43.50,07/09/22,0,79
280,0.0,1560.0,48932.493,12:12:33.40,07/09/22,0,78
281,0.0,1540.0,48978.49,12:12:22.00,07/09/22,0,77
282,0.0,1520.0,48962.642,12:12:12.20,07/09/22,0,76
283,0.0,1500.0,49025.806,12:12:01.30,07/09/22,0,75
284,0.0,1480.0,49037.406,12:11:49.40,07/09/22,0,74
285,0.0,1460.0,49021.355,12:11:40.50,07/09/22,0,73
286,0.0,1440.0,49060.694,12:11:30.30,07/09/22,0,72
287,0.0,1420.0,49163.447,12:11:20.10,07/09/22,0,71
288,0.0,1400.0,49169.391,12:11:09.30,07/09/22,0,70
289,0.0,1380.0,49419.753,12:10:55.90,07/09/22,0,69
290,0.0,1360.0,49374.097,12:09:33.20,07/09/22,0,68
291,0.0,1340.0,49266.805,12:09:20.90,07/09/22,0,67
292,0.0,1320.0,49259.247,12:09:12.30,07/09/22,0,66
293,0.0,1300.0,49259.866,12:09:10.70,07/09/22,0,65
294,0.0,1280.0,49267.952,12:08:59.90,07/09/22,0,64
295,0.0,1260.0,49395.436,12:08:46.20,07/09/22,0,63
296,0.0,1240.0,49247.204,12:08:29.80,07/09/22,0,62
297,0.0,1220.0,49114.236,12:08:09.20,07/09/22,0,61
298,0.0,1200.0,49260.531,12:07:57.30,07/09/22,0,60
299,0.0,1180.0,49404.698,12:07:43.20,07/09/22,0,59
300,0.0,1160.0,49290.524,12:07:33.00,07/09/22,0,58
301,0.0,1140.0,49434.777,12:07:23.80,07/09/22,0,57
302,0.0,1120.0,49686.861,12:07:13.80,07/09/22,0,56
303,0.0,1100.0,49788.943,12:07:05.30,07/09/22,0,55
304,0.0,1080.0,49728.865,12:06:56.00,07/09/22,0,54
305,0.0,1060.0,49596.041,12:06:45.40,07/09/22,0,53
306,0.0,1040.0,49597.747,12:06:43.20,07/09/22,0,52
307,0.0,1020.0,49526.948,12:06:34.80,07/09/22,0,51
308,0.0,1000.0,49457.61,12:06:26.40,07/09/22,0,50
309,0.0,980.0,49488.964,12:06:14.70,07/09/22,0,49
310,0.0,960.0,49482.108,12:05:59.40,07/09/22,0,48
311,0.0,940.0,49242.159,12:05:15.60,07/09/22,0,47
312,0.0,920.0,49763.703,12:05:00.60,07/09/22,0,46
313,0.0,900.0,49380.034,12:04:51.80,07/09/22,0,45
314,0.0,880.0,48913.784,12:04:12.30,07/09/22,0,44
315,0.0,860.0,49026.705,12:03:58.50,07/09/22,0,43
316,0.0,840.0,49018.591,12:03:47.90,07/09/22,0,42
317,0.0,820.0,49082.186,12:03:37.50,07/09/22,0,41
318,0.0,800.0,49048.401,12:03:26.90,07/09/22,0,40
319,0.0,780.0,49054.547,12:03:00.40,07/09/22,0,39
320,0.0,760.0,49056.855,12:02:49.40,07/09/22,0,38
321,0.0,740.0,49072.913,12:02:38.40,07/09/22,0,37
322,0.0,720.0,49121.664,12:02:22.20,07/09/22,0,36
323,0.0,700.0,49165.214,12:02:07.70,07/09/22,0,35
324,0.0,680.0,49246.165,12:01:51.30,07/09/22,0,34
325,0.0,660.0,49154.034,12:01:39.70,07/09/22,0,33
326,0.0,640.0,49135.88,12:01:02.50,07/09/22,0,32
327,0.0,620.0,49041.282,12:00:49.90,07/09/22,0,31
328,0.0,600.0,48991.462,12:00:32.40,07/09/22,0,30
329,0.0,580.0,49194.502,12:00:19.00,07/09/22,0,29
330,0.0,560.0,49156.495,12:00:09.40,07/09/22,0,28
331,0.0,540.0,49143.999,11:59:59.80,07/09/22,0,27
332,0.0,520.0,48951.126,11:59:48.30,07/09/22,0,26
333,0.0,500.0,48876.531,11:59:38.60,07/09/22,0,25
334,0.0,480.0,48884.437,11:59:30.00,07/09/22,0,24
335,0.0,460.0,48615.914,11:59:21.50,07/09/22,0,23
336,0.0,440.0,48615.771,11:59:09.00,07/09/22,0,22
337,0.0,420.0,48631.423,11:59:00.10,07/09/22,0,21
338,0.0,400.0,48650.041,11:58:51.30,07/09/22,0,20
339,0.0,380.0,48667.113,11:58:41.30,07/09/22,0,19
340,0.0,360.0,48725.77,11:58:31.70,07/09/22,0,18
341,0.0,340.0,48665.563,11:58:18.60,07/09/22,0,17
342,0.0,320.0,48640.988,11:58:05.70,07/09/22,0,16
343,0.0,300.0,48726.765,11:57:54.40,07/09/22,0,15
344,0.0,280.0,48704.925,11:57:44.90,07/09/22,0,14
345,0.0,260.0,48725.941,11:57:35.50,07/09/22,0,13
346,0.0,240.0,48628.091,11:57:22.30,07/09/22,0,12
347,0.0,220.0,48533.481,11:57:07.90,07/09/22,0,11
348,0.0,200.0,48523.291,11:56:35.30,07/09/22,0,10
349,0.0,180.0,48556.099,11:56:19.60,07/09/22,0,9
350,0.0,160.0,48448.02,11:56:06.70,07/09/22,0,8
351,0.0,140.0,48488.297,11:55:45.00,07/09/22,0,7
352,0.0,120.0,48466.997,11:55:25.70,07/09/22,0,6
353,0.0,100.0,48557.313,11:54:49.00,07/09/22,0,5
354,0.0,80.0,48459.021,11:54:28.70,07/09/22,0,4
355,0.0,60.0,48537.032,11:53:46.40,07/09/22,0,3
356,0.0,40.0,48370.503,11:53:09.10,07/09/22,0,2
357,0.0,20.0,48409.265,11:49:18.00,07/09/22,0,1
358,0.0,0.0,48845.01,11:46:23.70,07/09/22,0,0
